Chi^2 Kaon Lines:
chi^2/NDF kaon = 3.26552
chi^2/NDF kaon = 2.25806
chi^2/NDF kaon = 2.56727
chi^2/NDF kaon = 2.75063
chi^2/NDF kaon = 1.50696
chi^2/NDF kaon = 1.87903
chi^2/NDF kaon = 2.08878
chi^2/NDF kaon = 1.92732
chi^2/NDF kaon = 4.86982
chi^2/NDF kaon = 2.34824
chi^2/NDF kaon = 2.27158
chi^2/NDF kaon = 1.552
chi^2/NDF kaon = 3.07524
chi^2/NDF kaon = 2.59357
chi^2/NDF kaon = 2.3068
chi^2/NDF kaon = 2.05673
chi^2/NDF kaon = 2.19101
chi^2/NDF kaon = 2.12952
chi^2/NDF kaon = 3.14731
chi^2/NDF kaon = 2.87102
chi^2/NDF kaon = 1.99386
chi^2/NDF kaon = 1.97914
chi^2/NDF kaon = 2.28361
chi^2/NDF kaon = 2.04216
chi^2/NDF kaon = 1.85602
chi^2/NDF kaon = 1.8147
chi^2/NDF kaon = 1.71519
chi^2/NDF kaon = 4.27437
chi^2/NDF kaon = 3.40877
chi^2/NDF kaon = 2.53932
chi^2/NDF kaon = 1.62158
chi^2/NDF kaon = 2.06019
chi^2/NDF kaon = 2.08167
chi^2/NDF kaon = 1.61969
chi^2/NDF kaon = 1.78386
chi^2/NDF kaon = 2.30911
chi^2/NDF kaon = 1.82981
chi^2/NDF kaon = 2.55525
chi^2/NDF kaon = 2.31118
chi^2/NDF kaon = 2.39987
chi^2/NDF kaon = 2.7815
chi^2/NDF kaon = 2.24726
chi^2/NDF kaon = 7.97735
chi^2/NDF kaon = 1.72067
chi^2/NDF kaon = 2.59463
chi^2/NDF kaon = 3.54636
chi^2/NDF kaon = 2.47415
chi^2/NDF kaon = 2.19555
chi^2/NDF kaon = 2.29061
chi^2/NDF kaon = 2.21114
chi^2/NDF kaon = 2.20787
chi^2/NDF kaon = 1.76169
chi^2/NDF kaon = 2.38843
chi^2/NDF kaon = 2.10157
chi^2/NDF kaon = 1.63496
chi^2/NDF kaon = 2.35958
chi^2/NDF kaon = 2.07949
chi^2/NDF kaon = 2.50195
chi^2/NDF kaon = 4.01897
chi^2/NDF kaon = 2.19871
chi^2/NDF kaon = 2.03132
chi^2/NDF kaon = 2.80164
chi^2/NDF kaon = 2.21448
chi^2/NDF kaon = 2.66806
chi^2/NDF kaon = 2.21408
chi^2/NDF kaon = 2.00905
chi^2/NDF kaon = 2.45352
chi^2/NDF kaon = 2.2687
chi^2/NDF kaon = 2.79629
chi^2/NDF kaon = 2.87077
chi^2/NDF kaon = 2.68251
chi^2/NDF kaon = 2.15149
chi^2/NDF kaon = 2.30338
chi^2/NDF kaon = 1.90789
chi^2/NDF kaon = 2.17942
chi^2/NDF kaon = 1.92535
chi^2/NDF kaon = 2.20313
chi^2/NDF kaon = 2.92102
chi^2/NDF kaon = 1.87726
chi^2/NDF kaon = 1.35981
chi^2/NDF kaon = 2.32413
chi^2/NDF kaon = 2.49977
chi^2/NDF kaon = 2.12172
chi^2/NDF kaon = 2.28082
chi^2/NDF kaon = 1.69809
chi^2/NDF kaon = 2.18208
chi^2/NDF kaon = 1.71686
chi^2/NDF kaon = 2.49136
chi^2/NDF kaon = 2.29215
chi^2/NDF kaon = 1.98011
chi^2/NDF kaon = 1.88925
chi^2/NDF kaon = 2.13597
chi^2/NDF kaon = 2.0151
chi^2/NDF kaon = 2.2962
chi^2/NDF kaon = 1.99091
chi^2/NDF kaon = 2.22857
chi^2/NDF kaon = 3.38709
chi^2/NDF kaon = 1.64415
chi^2/NDF kaon = 2.36852
chi^2/NDF kaon = 3.00614
chi^2/NDF kaon = 1.58816
chi^2/NDF kaon = 1.95976
chi^2/NDF kaon = 1.93127
chi^2/NDF kaon = 3.21619
chi^2/NDF kaon = 2.49159
chi^2/NDF kaon = 2.53998
chi^2/NDF kaon = 3.00426
chi^2/NDF kaon = 2.29325
chi^2/NDF kaon = 2.24423
chi^2/NDF kaon = 3.3498
chi^2/NDF kaon = 2.53297
chi^2/NDF kaon = 2.34556
chi^2/NDF kaon = 2.10387
chi^2/NDF kaon = 1.76655
chi^2/NDF kaon = 2.08133
chi^2/NDF kaon = 2.4911
chi^2/NDF kaon = 2.12194
chi^2/NDF kaon = 5.14636
chi^2/NDF kaon = 2.31097
chi^2/NDF kaon = 1.59254
chi^2/NDF kaon = 2.18512
chi^2/NDF kaon = 2.22028
chi^2/NDF kaon = 1.8406
chi^2/NDF kaon = 2.27367
chi^2/NDF kaon = 2.25421
chi^2/NDF kaon = 2.16742
chi^2/NDF kaon = 1.9395
chi^2/NDF kaon = 1.86961
chi^2/NDF kaon = 2.51644
chi^2/NDF kaon = 1.88896
chi^2/NDF kaon = 2.35696
chi^2/NDF kaon = 2.21137
chi^2/NDF kaon = 2.13789
chi^2/NDF kaon = 2.54352
chi^2/NDF kaon = 1.54951
chi^2/NDF kaon = 2.06979
chi^2/NDF kaon = 2.34658
chi^2/NDF kaon = 1.87525
chi^2/NDF kaon = 2.61485
chi^2/NDF kaon = 2.7259
chi^2/NDF kaon = 2.42734
chi^2/NDF kaon = 2.1415
chi^2/NDF kaon = 2.02948
chi^2/NDF kaon = 2.3782
chi^2/NDF kaon = 2.45696
chi^2/NDF kaon = 2.089
chi^2/NDF kaon = 2.84673
chi^2/NDF kaon = 2.38804
chi^2/NDF kaon = 2.40268
chi^2/NDF kaon = 2.34121
chi^2/NDF kaon = 4.74666
chi^2/NDF kaon = 4.34164
chi^2/NDF kaon = 1.78238
chi^2/NDF kaon = 2.3736
chi^2/NDF kaon = 1.49572
chi^2/NDF kaon = 2.1176
chi^2/NDF kaon = 2.56395
chi^2/NDF kaon = 3.34111
chi^2/NDF kaon = 1.9924
chi^2/NDF kaon = 1.56122
chi^2/NDF kaon = 2.71036
chi^2/NDF kaon = 2.0559
chi^2/NDF kaon = 1.55821
chi^2/NDF kaon = 1.86993
chi^2/NDF kaon = 2.16831
chi^2/NDF kaon = 2.07966
chi^2/NDF kaon = 1.65505
chi^2/NDF kaon = 2.37256
chi^2/NDF kaon = 2.27439
chi^2/NDF kaon = 8.6344
chi^2/NDF kaon = 2.4912
chi^2/NDF kaon = 2.78975
chi^2/NDF kaon = 2.10331
chi^2/NDF kaon = 1.90994
chi^2/NDF kaon = 2.29728
chi^2/NDF kaon = 1.7214
chi^2/NDF kaon = 1.4054
