Chi^2 Kaon Lines:
chi^2/NDF kaon = 98.141
chi^2/NDF kaon = 4.1855
chi^2/NDF kaon = 2.69093
chi^2/NDF kaon = 14.8013
chi^2/NDF kaon = 21.8793
chi^2/NDF kaon = 3.81768
chi^2/NDF kaon = 36.4017
chi^2/NDF kaon = 4.05097
chi^2/NDF kaon = 1.67003
chi^2/NDF kaon = 378.728
chi^2/NDF kaon = 4.18616
chi^2/NDF kaon = 13.2808
chi^2/NDF kaon = 76.2798
chi^2/NDF kaon = 160.514
chi^2/NDF kaon = 2.52009
chi^2/NDF kaon = 3.45934
chi^2/NDF kaon = 4.6463
chi^2/NDF kaon = 99.4319
chi^2/NDF kaon = 3.00667
chi^2/NDF kaon = 37.994
chi^2/NDF kaon = 72.8383
chi^2/NDF kaon = 2.7389
chi^2/NDF kaon = 3.50409
chi^2/NDF kaon = 43.4691
chi^2/NDF kaon = 35.0565
chi^2/NDF kaon = 125.533
chi^2/NDF kaon = 4.07743
chi^2/NDF kaon = 5.75202
chi^2/NDF kaon = 9.95707
chi^2/NDF kaon = 487.355
chi^2/NDF kaon = 10.9879
chi^2/NDF kaon = 6.52605
chi^2/NDF kaon = 3.84005
chi^2/NDF kaon = 102.78
chi^2/NDF kaon = 12.8591
chi^2/NDF kaon = 7.90353
chi^2/NDF kaon = 2.39439
chi^2/NDF kaon = 18.5994
chi^2/NDF kaon = 442.973
chi^2/NDF kaon = 1.95512
chi^2/NDF kaon = 33.2906
chi^2/NDF kaon = 4.65934
chi^2/NDF kaon = 364.624
chi^2/NDF kaon = 4.09045
chi^2/NDF kaon = 11.1638
chi^2/NDF kaon = 4.58406
chi^2/NDF kaon = 10.0707
chi^2/NDF kaon = 89.2652
chi^2/NDF kaon = 73.7512
chi^2/NDF kaon = 41.3838
chi^2/NDF kaon = 48.6288
chi^2/NDF kaon = 56.3205
chi^2/NDF kaon = 3.33269
chi^2/NDF kaon = 57.0392
chi^2/NDF kaon = 121.465
chi^2/NDF kaon = 2.17576
chi^2/NDF kaon = 45.0845
chi^2/NDF kaon = 111.402
chi^2/NDF kaon = 50.5995
chi^2/NDF kaon = 4.1245
chi^2/NDF kaon = 7.46329
chi^2/NDF kaon = 2.05124
chi^2/NDF kaon = 3.1844
chi^2/NDF kaon = 3.70528
chi^2/NDF kaon = 4.59732
chi^2/NDF kaon = 4.80181
chi^2/NDF kaon = 181.388
chi^2/NDF kaon = 18.5208
chi^2/NDF kaon = 89.4879
